"amount","project_number","report_fy","budget_cycle","fund_type","fund_number","asset_owning_dept","project_name","account","account_number"
"4427819","ABT00001","24","proposed","Infrastructure Fund","C100012","General Services","City Facilities Improvements","Undistributed Budget","512117"
"1379879","ACA00001","24","proposed","Infrastructure Fund","C100012","Stormwater","Drainage Projects","Undistributed Budget","512117"
"6175716","AGF00007","24","proposed","Infrastructure Fund","C100012","Parks & Recreation","Park Improvements","Undistributed Budget","512117"
"4064805","AID00005","24","proposed","Infrastructure Fund","C100012","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"200000","AIE00002","24","proposed","Infrastructure Fund","C100012","Transportation","Guard Rails","Undistributed Budget","512117"
"532897","S10051","24","proposed","Infrastructure Fund","C100012","Parks & Recreation","Olive St Park Acquisition and Development","Undistributed Budget","512117"
"709172","S15040","24","proposed","Infrastructure Fund","C100012","Parks & Recreation","Golf Course Drive Improvements","Undistributed Budget","512117"
"2500000","S19005","24","proposed","Infrastructure Fund","C100012","Transportation","City Heights Sidewalks and Streetlights","Undistributed Budget","512117"
"4742656","AID00005","24","proposed","Gas Tax Fund","C200118","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"2000000","AID00005","24","proposed","Trench Cut/Excavation Fee Fund","C200203","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"12869721","AGF00004","24","proposed","Mission Bay Park Improvement Fund","C200386","Parks & Recreation","Mission Bay Improvements","Undistributed Budget","512117"
"100000","AGE00001","24","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Resource-Based Open Space Parks","Undistributed Budget","512117"
"700000","AGF00006","24","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Coastal Erosion and Access","Undistributed Budget","512117"
"1141027","L14005","24","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Sunset Cliffs Park Drainage Improvements","Undistributed Budget","512117"
"908973","S13008","24","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Mohnike Adobe and Barn Restoration","Undistributed Budget","512117"
"479850","S15034","24","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Junipero Serra Museum ADA Improvements","Undistributed Budget","512117"
"3000000","S20005","24","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Balboa Park Botanical Bldg Improvements","Undistributed Budget","512117"
"510857","S00880","24","proposed","Facilities Benefit Assessments","C400080","Transportation","Miramar Road-I-805 Easterly Ramps","Undistributed Budget","512117"
"1345161","RD21004","24","proposed","Facilities Benefit Assessments","C400083","Transportation","Camino Del Sur Widening - South","Undistributed Budget","512117"
"2000000","S16035","24","proposed","Facilities Benefit Assessments","C400088","Parks & Recreation","Sage Canyon Concession Bldg-Development","Undistributed Budget","512117"
"812554","RD22000","24","proposed","Facilities Benefit Assessments","C400090","Parks & Recreation","McGonigle Canyon NP P-2","Undistributed Budget","512117"
"14997804","S00856","24","proposed","Facilities Benefit Assessments","C400090","Transportation","El Camino Real to ViaDeLaValle (1/2 mile)","Undistributed Budget","512117"
"500000","S15045","24","proposed","Development Impact Fees","C400122","Transportation","Park Boulevard At-Grade Crossing","Undistributed Budget","512117"
"3900000","S16012","24","proposed","Development Impact Fees","C400122","Parks & Recreation","East Village Green Phase 1","Undistributed Budget","512117"
"10110851","AID00005","24","proposed","TransNet Funds","C400169","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"583000","AIK00001","24","proposed","TransNet Funds","C400169","Transportation","New Walkways","Undistributed Budget","512117"
"216000","AIL00001","24","proposed","TransNet Funds","C400169","Transportation","Traffic Calming","Undistributed Budget","512117"
"846000","AIL00002","24","proposed","TransNet Funds","C400169","Transportation","Install T/S Interconnect Systems","Undistributed Budget","512117"
"2926400","AIL00004","24","proposed","TransNet Funds","C400169","Transportation","Traffic Signals - Citywide","Undistributed Budget","512117"
"487374","AIL00005","24","proposed","TransNet Funds","C400169","Transportation","Traffic Signals Modification","Undistributed Budget","512117"
"9700000","S00951","24","proposed","TransNet Funds","C400169","Transportation","Coastal Rail Trail","Undistributed Budget","512117"
"2455000","S22012","24","proposed","TransNet Funds","C400169","Transportation","Normal Street Promenade","Undistributed Budget","512117"
"1918631","ACC00001","24","proposed","Fleet Services Internal Service Fund","C400676","Stormwater","Watershed CIP","Undistributed Budget","512117"
"110000","L14002","24","proposed","Fleet Services Internal Service Fund","C400676","General Services","Fleet Operations Facilities","Undistributed Budget","512117"
"2000000","S00880","24","proposed","Development Impact Fees","C400849","Transportation","Miramar Road-I-805 Easterly Ramps","Undistributed Budget","512117"
"775291","S16012","24","proposed","Other Funding","C400850","Parks & Recreation","East Village Green Phase 1","Undistributed Budget","512117"
"500000","S16013","24","proposed","Other Funding","C400850","Parks & Recreation","Children's Park Improvements","Undistributed Budget","512117"
"20000000","ACA00001","24","proposed","Bond Financing","C400881","Stormwater","Drainage Projects","Undistributed Budget","512117"
"83381689","AID00005","24","proposed","Bond Financing","C400881","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"500000","ABP00001","24","proposed","Sewer Funds","C700008","Public Utilities","Pump Station Restorations","Undistributed Budget","512117"
"115000","ABT00001","24","proposed","Sewer Funds","C700008","General Services","City Facilities Improvements","Undistributed Budget","512117"
"48675107","AJA00001","24","proposed","Sewer Funds","C700008","Public Utilities","Sewer Main Replacements","Undistributed Budget","512117"
"4569352","AJA00002","24","proposed","Sewer Funds","C700008","Public Utilities","Pipeline Rehabilitation","Undistributed Budget","512117"
"377431","ATT00002","24","proposed","Sewer Funds","C700008","Department of Information Technology","Enterprise Funded IT Projects","Undistributed Budget","512117"
"1768000","L22000","24","proposed","Sewer Funds","C700008","Public Utilities","Alvarado Laboratory Improvements","Undistributed Budget","512117"
"6000000","S15020","24","proposed","Sewer Funds","C700008","Public Utilities","Tecolote Canyon Trunk Sewer Improvement","Undistributed Budget","512117"
"17700000","S18006","24","proposed","Sewer Funds","C700008","Public Utilities","Harbor Drive Trunk Sewer","Undistributed Budget","512117"
"350000","S20000","24","proposed","Sewer Funds","C700008","Public Utilities","Kearny Mesa Trunk Sewer","Undistributed Budget","512117"
"10000000","S22014","24","proposed","Sewer Funds","C700008","Public Utilities","Murphy Canyon Trunk Sewer Repair/Rehab","Undistributed Budget","512117"
"6138127","ABO00001","24","proposed","Sewer Funds","C700009","Public Utilities","Metro Treatment Plants","Undistributed Budget","512117"
"2538000","ABP00002","24","proposed","Sewer Funds","C700009","Public Utilities","Metropolitan System Pump Stations","Undistributed Budget","512117"
"35000","ABT00001","24","proposed","Sewer Funds","C700009","General Services","City Facilities Improvements","Undistributed Budget","512117"
"10000000","ALA00001","24","proposed","Sewer Funds","C700009","Public Utilities","PURE Water Program","Undistributed Budget","512117"
"4000000","ALA00002","24","proposed","Sewer Funds","C700009","Public Utilities","Pure Water Phase 2","Undistributed Budget","512117"
"4993313","ATT00002","24","proposed","Sewer Funds","C700009","Department of Information Technology","Enterprise Funded IT Projects","Undistributed Budget","512117"
"2978000","L22000","24","proposed","Sewer Funds","C700009","Public Utilities","Alvarado Laboratory Improvements","Undistributed Budget","512117"
"9100349","P19002","24","proposed","Sewer Funds","C700009","Public Utilities","Pure Water Pooled Contingency","Undistributed Budget","512117"
"1184265","S17012","24","proposed","Sewer Funds","C700009","Public Utilities","NCWRP Improvements to 30 mgd","Undistributed Budget","512117"
"1989150","S17013","24","proposed","Sewer Funds","C700009","Public Utilities","MBC Equipment Upgrades","Undistributed Budget","512117"
"400000","S21003","24","proposed","Sewer Funds","C700009","Public Utilities","Enviro Monitoring Tech Svcs Div Lab Remodel at NTC","Undistributed Budget","512117"
"3000000","S22001","24","proposed","Sewer Funds","C700009","Public Utilities","North/South Metro Interceptors Rehabilitation","Undistributed Budget","512117"
"2300000","ABI00001","24","proposed","Water Fund","C700010","Public Utilities","Water Treatment Plants","Undistributed Budget","512117"
"1847407","ABL00001","24","proposed","Water Fund","C700010","Public Utilities","Standpipe and Reservoir Rehabilitations","Undistributed Budget","512117"
"3319877","AKA00002","24","proposed","Water Fund","C700010","Public Utilities","Pressure Reduction Facility Upgrades","Undistributed Budget","512117"
"11678160","AKA00003","24","proposed","Water Fund","C700010","Public Utilities","Large Diameter Water Transmission PPL","Undistributed Budget","512117"
"99388939","AKB00003","24","proposed","Water Fund","C700010","Public Utilities","Water Main Replacements","Undistributed Budget","512117"
"66510000","ALA00001","24","proposed","Water Fund","C700010","Public Utilities","PURE Water Program","Undistributed Budget","512117"
"7000000","ALA00002","24","proposed","Water Fund","C700010","Public Utilities","Pure Water Phase 2","Undistributed Budget","512117"
"1460819","ATT00002","24","proposed","Water Fund","C700010","Department of Information Technology","Enterprise Funded IT Projects","Undistributed Budget","512117"
"2390000","L22000","24","proposed","Water Fund","C700010","Public Utilities","Alvarado Laboratory Improvements","Undistributed Budget","512117"
"950000","L23001","24","proposed","Water Fund","C700010","Public Utilities","El Camino Real Pipeline","Undistributed Budget","512117"
"14847939","P19002","24","proposed","Water Fund","C700010","Public Utilities","Pure Water Pooled Contingency","Undistributed Budget","512117"
"20000000","S11026","24","proposed","Water Fund","C700010","Public Utilities","Montezuma/Mid-City Pipeline Phase II","Undistributed Budget","512117"
"1000000","S12012","24","proposed","Water Fund","C700010","Public Utilities","Cielo & Woodman Pump Station","Undistributed Budget","512117"
"18000000","S12013","24","proposed","Water Fund","C700010","Public Utilities","Alvarado 2nd Extension Pipeline","Undistributed Budget","512117"
"6000000","S15016","24","proposed","Water Fund","C700010","Public Utilities","Otay Second Pipeline Relocation-PA","Undistributed Budget","512117"
"1000000","S21000","24","proposed","Water Fund","C700010","Public Utilities","Otay 2nd Pipeline St Replacement Ph 5","Undistributed Budget","512117"
"7560000","S22013","24","proposed","Water Fund","C700010","Public Utilities","Dams & Reservoirs Security Improvements","Undistributed Budget","512117"
"5000000","S23002","24","proposed","Water Fund","C700010","Public Utilities","Lake Hodges Dam Replacement","Undistributed Budget","512117"
"500000","S24000","24","proposed","Water Fund","C700010","Public Utilities","Alvarado WTP Filter Gallery Piping Repl","Undistributed Budget","512117"
"2500000","S24001","24","proposed","Water Fund","C700010","Public Utilities","Morena Dam Upstream Face Replacement","Undistributed Budget","512117"
"2000000","S24002","24","proposed","Water Fund","C700010","Public Utilities","Barret Dam Outlet Bulkhead & Drawdown Improvements","Undistributed Budget","512117"
"2000000","S24003","24","proposed","Water Fund","C700010","Public Utilities","Lower Otay Dam Outlet Improvements","Undistributed Budget","512117"
"3500000","T22001","24","proposed","Water Fund","C700010","Public Utilities","Water SCADA IT Upgrades","Undistributed Budget","512117"
"6947484","AAA00002","24","proposed","Airport Funds","C700028","Airport Management","Brown Field","Undistributed Budget","512117"
"3114497","AAA00001","24","proposed","Airport Funds","C700030","Airport Management","Montgomery-Gibbs Executive Airport","Undistributed Budget","512117"
"400000","AFA00001","24","proposed","Refuse Disposal Fund","C700040","Environmental Services","Minor Improvements to Landfills","Undistributed Budget","512117"
"4000000","AEA00002","24","proposed","Golf Course Enterprise Fund","C700044","Parks & Recreation","Balboa Park Golf Course","Undistributed Budget","512117"
"10000000","L17000","24","proposed","Recycling Fund","C700049","Environmental Services","Miramar Landfill Facility Improvements","Undistributed Budget","512117"
"1500000","ACC00001","25","proposed","General Fund - Other","C100015","Stormwater","Watershed CIP","Undistributed Budget","512117"
"2470000","AID00005","25","proposed","Trench Cut/Excavation Fee Fund","C200203","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"679264","S22011","25","proposed","Library System Improvement Fund","C200209","Library","Oak Park Library","Undistributed Budget","512117"
"66186","S22011","25","proposed","Library System Improvement Fund","C200369","Library","Oak Park Library","Undistributed Budget","512117"
"13708605","AGF00004","25","proposed","Mission Bay Park Improvement Fund","C200386","Parks & Recreation","Mission Bay Improvements","Undistributed Budget","512117"
"4591841","ABT00001","25","proposed","San Diego Regional Parks Improvement Fund","C200391","General Services","City Facilities Improvements","Undistributed Budget","512117"
"302000","AGE00001","25","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Resource-Based Open Space Parks","Undistributed Budget","512117"
"48000","AGF00007","25","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Park Improvements","Undistributed Budget","512117"
"617468","P23002","25","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Old Mission Dam Dredging","Undistributed Budget","512117"
"862238","S13008","25","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Mohnike Adobe and Barn Restoration","Undistributed Budget","512117"
"960010","S15034","25","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Junipero Serra Museum ADA Improvements","Undistributed Budget","512117"
"800000","ATT00001","25","proposed","OneSD/ERP Funding","C200802","Department of Information Technology","Governmental Funded IT Projects","Undistributed Budget","512117"
"2960000","T25000","25","proposed","OneSD/ERP Funding","C200802","Department of Information Technology","SAP Modernization","Undistributed Budget","512117"
"146143","P24006","25","proposed","Facilities Benefit Assessments","C400083","Parks & Recreation","Penasquitos Creek NP Comfort Station","Undistributed Budget","512117"
"52001","AIL00004","25","proposed","Facilities Benefit Assessments","C400085","Transportation","Traffic Signals - Citywide","Undistributed Budget","512117"
"4249635","S00856","25","proposed","Facilities Benefit Assessments","C400090","Transportation","El Camino Real to ViaDeLaValle (1/2 mile)","Undistributed Budget","512117"
"46956","S00784","25","proposed","Facilities Benefit Assessments","C400092","Fire-Rescue","Fire Station No. 49 - Otay Mesa","Undistributed Budget","512117"
"90794","S00784","25","proposed","Facilities Benefit Assessments","C400093","Fire-Rescue","Fire Station No. 49 - Otay Mesa","Undistributed Budget","512117"
"210853","L20000","25","proposed","Development Impact Fees","C400099","Parks & Recreation","Rancho Bernardo CP Improvements","Undistributed Budget","512117"
"1289","S00784","25","proposed","Development Impact Fees","C400100","Fire-Rescue","Fire Station No. 49 - Otay Mesa","Undistributed Budget","512117"
"31469","S00784","25","proposed","Development Impact Fees","C400102","Fire-Rescue","Fire Station No. 49 - Otay Mesa","Undistributed Budget","512117"
"2069","S10050","25","proposed","Development Impact Fees","C400110","Parks & Recreation","North Park Mini Park & Streetscape Improvements","Undistributed Budget","512117"
"288000","AIL00004","25","proposed","Development Impact Fees","C400112","Transportation","Traffic Signals - Citywide","Undistributed Budget","512117"
"500000","S00915","25","proposed","Development Impact Fees","C400112","Transportation","University Avenue Mobility","Undistributed Budget","512117"
"155324","S10050","25","proposed","Development Impact Fees","C400112","Parks & Recreation","North Park Mini Park & Streetscape Improvements","Undistributed Budget","512117"
"156045","AIL00001","25","proposed","Development Impact Fees","C400115","Transportation","Traffic Calming","Undistributed Budget","512117"
"114999","AIL00005","25","proposed","Development Impact Fees","C400115","Transportation","Traffic Signals Modification","Undistributed Budget","512117"
"500000","P25001","25","proposed","Development Impact Fees","C400115","Stormwater","Pump Station C Assessment","Undistributed Budget","512117"
"3500000","ACA00001","25","proposed","Development Impact Fees","C400116","Stormwater","Drainage Projects","Undistributed Budget","512117"
"53225","S16047","25","proposed","Development Impact Fees","C400118","Parks & Recreation","Canon Street Pocket Park","Undistributed Budget","512117"
"14959","AIK00001","25","proposed","Development Impact Fees","C400119","Transportation","New Walkways","Undistributed Budget","512117"
"44998","ACA00001","25","proposed","Development Impact Fees","C400121","Stormwater","Drainage Projects","Undistributed Budget","512117"
"800000","S16012","25","proposed","Development Impact Fees","C400122","Parks & Recreation","East Village Green Phase 1","Undistributed Budget","512117"
"128000","ACA00001","25","proposed","Development Impact Fees","C400123","Stormwater","Drainage Projects","Undistributed Budget","512117"
"19960","S22002","25","proposed","Development Impact Fees","C400125","Parks & Recreation","Southwest Neighborhood Park","Undistributed Budget","512117"
"48001","ACA00001","25","proposed","Development Impact Fees","C400127","Stormwater","Drainage Projects","Undistributed Budget","512117"
"190000","AIL00002","25","proposed","Development Impact Fees","C400127","Transportation","Install T/S Interconnect Systems","Undistributed Budget","512117"
"48305","AIL00005","25","proposed","Development Impact Fees","C400128","Transportation","Traffic Signals Modification","Undistributed Budget","512117"
"1500000","ACA00001","25","proposed","Development Impact Fees","C400129","Stormwater","Drainage Projects","Undistributed Budget","512117"
"25030","ACA00001","25","proposed","Development Impact Fees","C400133","Stormwater","Drainage Projects","Undistributed Budget","512117"
"51","AIA00001","25","proposed","Development Impact Fees","C400134","Transportation","Minor Bike Facilities","Undistributed Budget","512117"
"272789","AIA00001","25","proposed","TransNet Funds","C400169","Transportation","Minor Bike Facilities","Undistributed Budget","512117"
"15927900","AID00005","25","proposed","TransNet Funds","C400169","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"333686","AIG00001","25","proposed","TransNet Funds","C400169","Transportation","Median Installation","Undistributed Budget","512117"
"226600","AIH00001","25","proposed","TransNet Funds","C400169","Transportation","Installation of City Owned Street Lights","Undistributed Budget","512117"
"790325","AIK00001","25","proposed","TransNet Funds","C400169","Transportation","New Walkways","Undistributed Budget","512117"
"146000","AIL00001","25","proposed","TransNet Funds","C400169","Transportation","Traffic Calming","Undistributed Budget","512117"
"1000000","AIL00002","25","proposed","TransNet Funds","C400169","Transportation","Install T/S Interconnect Systems","Undistributed Budget","512117"
"2880000","AIL00004","25","proposed","TransNet Funds","C400169","Transportation","Traffic Signals - Citywide","Undistributed Budget","512117"
"3476238","AIL00005","25","proposed","TransNet Funds","C400169","Transportation","Traffic Signals Modification","Undistributed Budget","512117"
"100000","AIE00002","25","proposed","Regional Transportation Congestion Improvement Program","C400174","Transportation","Guard Rails","Undistributed Budget","512117"
"2239339","S00869","25","proposed","Regional Transportation Congestion Improvement Program","C400174","Transportation","Palm Avenue Interstate 805 Interchange","Undistributed Budget","512117"
"50000","S00951","25","proposed","Regional Transportation Congestion Improvement Program","C400174","Transportation","Coastal Rail Trail","Undistributed Budget","512117"
"3700000","L24002","25","proposed","General Fund","C400265","Homelessness Strategies and Solutions","Citywide Homeless Shelters","Undistributed Budget","512117"
"57857","AIG00001","25","proposed","Other Funding","C400633","Transportation","Median Installation","Undistributed Budget","512117"
"2191678","ACC00001","25","proposed","Fleet Services Internal Service Fund","C400676","Stormwater","Watershed CIP","Undistributed Budget","512117"
"140255","AID00007","25","proposed","Bus Stop Capital Improvement Fund","C400691","Transportation","Bus Stop Improvements","Undistributed Budget","512117"
"584337","S00869","25","proposed","Facilities Benefit Assessments","C400856","Transportation","Palm Avenue Interstate 805 Interchange","Undistributed Budget","512117"
"443303","RD22001","25","proposed","Development Impact Fees","C400857","Parks & Recreation","Dennery Ranch Neighborhood Park","Undistributed Budget","512117"
"329492","S00784","25","proposed","Development Impact Fees","C400857","Fire-Rescue","Fire Station No. 49 - Otay Mesa","Undistributed Budget","512117"
"400000","S23008","25","proposed","Development Impact Fees","C400857","Parks & Recreation","Beyer Park Development Phase II","Undistributed Budget","512117"
"488100","AIL00004","25","proposed","Development Impact Fees","C400864","Transportation","Traffic Signals - Citywide","Undistributed Budget","512117"
"50000","S16061","25","proposed","Development Impact Fees","C400864","Transportation","Market Street-47th to Euclid-Complete Street","Undistributed Budget","512117"
"250000","P19006","25","proposed","Enhanced Infrastructure Financing District Fund","C400870","Transportation","Siempre Viva Road Improvements","Undistributed Budget","512117"
"500000","P19007","25","proposed","Enhanced Infrastructure Financing District Fund","C400870","Transportation","Airway Road Improvements","Undistributed Budget","512117"
"4368165","RD22001","25","proposed","Enhanced Infrastructure Financing District Fund","C400870","Parks & Recreation","Dennery Ranch Neighborhood Park","Undistributed Budget","512117"
"1500000","S00784","25","proposed","Enhanced Infrastructure Financing District Fund","C400870","Fire-Rescue","Fire Station No. 49 - Otay Mesa","Undistributed Budget","512117"
"850000","S00995","25","proposed","Enhanced Infrastructure Financing District Fund","C400870","Parks & Recreation","Hidden Trails Neighborhood Park","Undistributed Budget","512117"
"1011168","ABT00001","25","proposed","Bond Financing","C400881","General Services","City Facilities Improvements","Undistributed Budget","512117"
"75185380","ACA00001","25","proposed","Bond Financing","C400881","Stormwater","Drainage Projects","Undistributed Budget","512117"
"562210","ACC00001","25","proposed","Bond Financing","C400881","Stormwater","Watershed CIP","Undistributed Budget","512117"
"79687101","AID00005","25","proposed","Bond Financing","C400881","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"401800","AIH00001","25","proposed","Bond Financing","C400881","Transportation","Installation of City Owned Street Lights","Undistributed Budget","512117"
"150000","AIH00002","25","proposed","Bond Financing","C400881","Transportation","Street Light Circuit Upgrades","Undistributed Budget","512117"
"3865812","AIK00003","25","proposed","Bond Financing","C400881","Transportation","Sidewalk Repair and Reconstruction","Undistributed Budget","512117"
"206700","AIL00001","25","proposed","Bond Financing","C400881","Transportation","Traffic Calming","Undistributed Budget","512117"
"1000000","L14002","25","proposed","Bond Financing","C400881","General Services","Fleet Operations Facilities","Undistributed Budget","512117"
"1000000","P25003","25","proposed","Bond Financing","C400881","General Services","Chollas Fleet Electrification Assessment","Undistributed Budget","512117"
"6500000","RD25000","25","proposed","Bond Financing","C400881","Transportation","University Ave Bikeway Pavement Repair","Undistributed Budget","512117"
"900000","P24008","25","proposed","Development Impact Fees","C400883","Parks & Recreation","South Clairemont CP Rec Cntr Renovation","Undistributed Budget","512117"
"900000","P24009","25","proposed","Development Impact Fees","C400883","Parks & Recreation","MLK Pool Improvements","Undistributed Budget","512117"
"251585","S10051","25","proposed","Development Impact Fees","C400883","Parks & Recreation","Olive St Park Acquisition and Development","Undistributed Budget","512117"
"99582","S16047","25","proposed","Development Impact Fees","C400883","Parks & Recreation","Canon Street Pocket Park","Undistributed Budget","512117"
"50000","S22004","25","proposed","Development Impact Fees","C400883","Parks & Recreation","John Baca Park","Undistributed Budget","512117"
"700000","ABT00001","25","proposed","Development Impact Fees","C400885","General Services","City Facilities Improvements","Undistributed Budget","512117"
"250000","P25000","25","proposed","Development Impact Fees","C400885","Fire-Rescue","OB Lifeguard Station Replacement Study","Undistributed Budget","512117"
"500000","S25000","25","proposed","Development Impact Fees","C400885","Fire-Rescue","BSU Lifeguard Locker Room Repl","Undistributed Budget","512117"
"350000","AIK00001","25","proposed","Development Impact Fees","C400888","Transportation","New Walkways","Undistributed Budget","512117"
"4582760","S18000","25","proposed","Development Impact Fees","C400888","Transportation","Streamview Drive Improvements Phase 2","Undistributed Budget","512117"
"6429550","S22012","25","proposed","Development Impact Fees","C400888","Transportation","Normal Street Promenade","Undistributed Budget","512117"
"1119949","RD23009","25","proposed","Development Impact Fees","C400890","Transportation","OM T-11.1 Caliente Avenue","Undistributed Budget","512117"
"2285855","S00869","25","proposed","Development Impact Fees","C400890","Transportation","Palm Avenue Interstate 805 Interchange","Undistributed Budget","512117"
"94196","S11060","25","proposed","Development Impact Fees","C400890","Transportation","Otay Mesa Truck Route Phase 4","Undistributed Budget","512117"
"1693198","AGF00007","25","proposed","Development Impact Fees","C400891","Parks & Recreation","Park Improvements","Undistributed Budget","512117"
"400000","P25002","25","proposed","Development Impact Fees","C400891","Parks & Recreation","Chollas Lake Drainage Study","Undistributed Budget","512117"
"300000","S16013","25","proposed","Development Impact Fees","C400891","Parks & Recreation","Children's Park Improvements","Undistributed Budget","512117"
"629723","S22002","25","proposed","Development Impact Fees","C400891","Parks & Recreation","Southwest Neighborhood Park","Undistributed Budget","512117"
"460485","AGF00007","25","proposed","Development Impact Fees","C400892","Parks & Recreation","Park Improvements","Undistributed Budget","512117"
"1565719","L20000","25","proposed","Development Impact Fees","C400892","Parks & Recreation","Rancho Bernardo CP Improvements","Undistributed Budget","512117"
"2375618","S15040","25","proposed","Development Impact Fees","C400892","Parks & Recreation","Golf Course Drive Improvements","Undistributed Budget","512117"
"78027532","AJA00001","25","proposed","Sewer Funds","C700008","Public Utilities","Sewer Main Replacements","Undistributed Budget","512117"
"16813198","AJA00002","25","proposed","Sewer Funds","C700008","Public Utilities","Pipeline Rehabilitation","Undistributed Budget","512117"
"2414000","L22000","25","proposed","Sewer Funds","C700008","Public Utilities","Alvarado Laboratory Improvements","Undistributed Budget","512117"
"8550000","L24004","25","proposed","Sewer Funds","C700008","Public Utilities","Kearny Mesa Trunk Sewer","Undistributed Budget","512117"
"14263455","S15019","25","proposed","Sewer Funds","C700008","Public Utilities","Alvarado Trunk Sewer Phase IV","Undistributed Budget","512117"
"18000000","S15020","25","proposed","Sewer Funds","C700008","Public Utilities","Tecolote Canyon Trunk Sewer Improvement","Undistributed Budget","512117"
"6500000","S18006","25","proposed","Sewer Funds","C700008","Public Utilities","Harbor Drive Trunk Sewer","Undistributed Budget","512117"
"19000000","S22014","25","proposed","Sewer Funds","C700008","Public Utilities","Murphy Canyon Trunk Sewer Repair/Rehab","Undistributed Budget","512117"
"11993421","ABO00001","25","proposed","Sewer Funds","C700009","Public Utilities","Metro Treatment Plants","Undistributed Budget","512117"
"849792","ABP00002","25","proposed","Sewer Funds","C700009","Public Utilities","Metropolitan System Pump Stations","Undistributed Budget","512117"
"3844740","ABT00003","25","proposed","Sewer Funds","C700009","Sustainability & Mobility","Citywide Energy Improvements","Undistributed Budget","512117"
"34627336","ALA00001","25","proposed","Sewer Funds","C700009","Public Utilities","PURE Water Program","Undistributed Budget","512117"
"4016000","L22000","25","proposed","Sewer Funds","C700009","Public Utilities","Alvarado Laboratory Improvements","Undistributed Budget","512117"
"1189986","S17012","25","proposed","Sewer Funds","C700009","Public Utilities","NCWRP Improvements to 30 mgd","Undistributed Budget","512117"
"3415585","S17013","25","proposed","Sewer Funds","C700009","Public Utilities","MBC Equipment Upgrades","Undistributed Budget","512117"
"5545571","ABI00001","25","proposed","Water Fund","C700010","Public Utilities","Water Treatment Plants","Undistributed Budget","512117"
"2200000","ABJ00001","25","proposed","Water Fund","C700010","Public Utilities","Water Pump Station Restoration","Undistributed Budget","512117"
"2902640","ABL00001","25","proposed","Water Fund","C700010","Public Utilities","Standpipe and Reservoir Rehabilitations","Undistributed Budget","512117"
"2695178","ACC00001","25","proposed","Water Fund","C700010","Stormwater","Watershed CIP","Undistributed Budget","512117"
"11152353","AKA00003","25","proposed","Water Fund","C700010","Public Utilities","Large Diameter Water Transmission PPL","Undistributed Budget","512117"
"122689387","AKB00003","25","proposed","Water Fund","C700010","Public Utilities","Water Main Replacements","Undistributed Budget","512117"
"65891043","ALA00001","25","proposed","Water Fund","C700010","Public Utilities","PURE Water Program","Undistributed Budget","512117"
"3570000","L22000","25","proposed","Water Fund","C700010","Public Utilities","Alvarado Laboratory Improvements","Undistributed Budget","512117"
"2402405","L23001","25","proposed","Water Fund","C700010","Public Utilities","El Camino Real Pipeline","Undistributed Budget","512117"
"20000000","S10008","25","proposed","Water Fund","C700010","Public Utilities","El Monte Pipeline No 2","Undistributed Budget","512117"
"11000000","S11026","25","proposed","Water Fund","C700010","Public Utilities","Montezuma/Mid-City Pipeline Phase II","Undistributed Budget","512117"
"35000000","S12013","25","proposed","Water Fund","C700010","Public Utilities","Alvarado 2nd Extension Pipeline","Undistributed Budget","512117"
"6860195","S16027","25","proposed","Water Fund","C700010","Public Utilities","Morena Pipeline","Undistributed Budget","512117"
"500000","S20001","25","proposed","Water Fund","C700010","Public Utilities","Otay 2nd Pipeline Phase 4","Undistributed Budget","512117"
"3498000","S21004","25","proposed","Water Fund","C700010","Public Utilities","Rancho Bernardo Industrial Pump Stn Repl","Undistributed Budget","512117"
"31944673","S22003","25","proposed","Water Fund","C700010","Public Utilities","Lakeside Valve Station Replacement","Undistributed Budget","512117"
"20402630","S23002","25","proposed","Water Fund","C700010","Public Utilities","Lake Hodges Dam Replacement","Undistributed Budget","512117"
"1572000","S23012","25","proposed","Water Fund","C700010","Public Utilities","Miramar WTP Residuals Redirection","Undistributed Budget","512117"
"1400000","S24000","25","proposed","Water Fund","C700010","Public Utilities","Alvarado WTP Filter Gallery Piping Repl","Undistributed Budget","512117"
